Indicator,Group,State,Time Period Label,Percentage,Confidence Interval
Symptoms of Depressive Disorder,National Estimate,United States,"Apr 23 - May 5, 2020",23.5,22.7 - 24.3
Symptoms of Depressive Disorder,By State,Alabama,"Apr 23 - May 5, 2020",18.6,14.6 - 23.1
Symptoms of Depressive Disorder,By State,Alaska,"Apr 23 - May 5, 2020",19.2,16.8 - 21.8
Symptoms of Depressive Disorder,By State,Arizona,"Apr 23 - May 5, 2020",22.4,19.4 - 25.5
Symptoms of Depressive Disorder,By State,Arkansas,"Apr 23 - May 5, 2020",26.6,22.3 - 31.3
Symptoms of Depressive Disorder,By State,California,"Apr 23 - May 5, 2020",25.4,22.5 - 28.6
Symptoms of Depressive Disorder,By State,Colorado,"Apr 23 - May 5, 2020",22.0,19.4 - 24.9
Symptoms of Depressive Disorder,By State,Connecticut,"Apr 23 - May 5, 2020",24.4,20.1 - 29.1
Symptoms of Depressive Disorder,By State,Delaware,"Apr 23 - May 5, 2020",21.1,17.6 - 24.9
Symptoms of Depressive Disorder,By State,District of Columbia,"Apr 23 - May 5, 2020",26.4,22.1 - 31.1
Symptoms of Depressive Disorder,By State,Florida,"Apr 23 - May 5, 2020",22.5,19.7 - 25.4
Symptoms of Depressive Disorder,By State,Georgia,"Apr 23 - May 5, 2020",25.6,21.4 - 30.2
Symptoms of Depressive Disorder,By State,Hawaii,"Apr 23 - May 5, 2020",20.0,14.9 - 26.1
Symptoms of Depressive Disorder,By State,Idaho,"Apr 23 - May 5, 2020",20.6,17.3 - 24.1
Symptoms of Depressive Disorder,By State,Illinois,"Apr 23 - May 5, 2020",23.3,19.6 - 27.2
Symptoms of Depressive Disorder,By State,Indiana,"Apr 23 - May 5, 2020",26.4,22.1 - 31.0
Symptoms of Depressive Disorder,By State,Iowa,"Apr 23 - May 5, 2020",16.5,13.7 - 19.6
Symptoms of Depressive Disorder,By State,Kansas,"Apr 23 - May 5, 2020",22.1,18.3 - 26.4
Symptoms of Depressive Disorder,By State,Kentucky,"Apr 23 - May 5, 2020",23.2,19.4 - 27.4
Symptoms of Depressive Disorder,By State,Louisiana,"Apr 23 - May 5, 2020",28.1,24.1 - 32.4
Symptoms of Depressive Disorder,By State,Maine,"Apr 23 - May 5, 2020",19.5,16.0 - 23.5
Symptoms of Depressive Disorder,By State,Maryland,"Apr 23 - May 5, 2020",20.9,17.9 - 24.1
Symptoms of Depressive Disorder,By State,Massachusetts,"Apr 23 - May 5, 2020",25.9,22.7 - 29.4
Symptoms of Depressive Disorder,By State,Michigan,"Apr 23 - May 5, 2020",25.5,22.0 - 29.4
Symptoms of Depressive Disorder,By State,Minnesota,"Apr 23 - May 5, 2020",20.4,17.7 - 23.4
Symptoms of Depressive Disorder,By State,Mississippi,"Apr 23 - May 5, 2020",22.9,18.7 - 27.6
Symptoms of Depressive Disorder,By State,Missouri,"Apr 23 - May 5, 2020",21.0,17.9 - 24.5
Symptoms of Depressive Disorder,By State,Montana,"Apr 23 - May 5, 2020",18.2,14.9 - 21.8
Symptoms of Depressive Disorder,By State,Nebraska,"Apr 23 - May 5, 2020",19.1,15.3 - 23.3
Symptoms of Depressive Disorder,By State,Nevada,"Apr 23 - May 5, 2020",23.6,19.1 - 28.7
Symptoms of Depressive Disorder,By State,New Hampshire,"Apr 23 - May 5, 2020",19.5,16.5 - 22.7
Symptoms of Depressive Disorder,By State,New Jersey,"Apr 23 - May 5, 2020",23.6,20.4 - 27.0
Symptoms of Depressive Disorder,By State,New Mexico,"Apr 23 - May 5, 2020",22.4,18.3 - 26.9
Symptoms of Depressive Disorder,By State,New York,"Apr 23 - May 5, 2020",28.7,24.6 - 33.1
Symptoms of Depressive Disorder,By State,North Carolina,"Apr 23 - May 5, 2020",21.1,17.1 - 25.6
Symptoms of Depressive Disorder,By State,North Dakota,"Apr 23 - May 5, 2020",17.0,13.7 - 20.7
Symptoms of Depressive Disorder,By State,Ohio,"Apr 23 - May 5, 2020",21.2,18.2 - 24.5
Symptoms of Depressive Disorder,By State,Oklahoma,"Apr 23 - May 5, 2020",20.8,16.4 - 25.7
Symptoms of Depressive Disorder,By State,Oregon,"Apr 23 - May 5, 2020",22.5,19.7 - 25.4
Symptoms of Depressive Disorder,By State,Pennsylvania,"Apr 23 - May 5, 2020",24.7,21.6 - 28.1
Symptoms of Depressive Disorder,By State,Rhode Island,"Apr 23 - May 5, 2020",24.5,19.9 - 29.7
Symptoms of Depressive Disorder,By State,South Carolina,"Apr 23 - May 5, 2020",21.6,17.9 - 25.7
Symptoms of Depressive Disorder,By State,South Dakota,"Apr 23 - May 5, 2020",17.5,13.0 - 22.7
Symptoms of Depressive Disorder,By State,Tennessee,"Apr 23 - May 5, 2020",22.2,17.2 - 27.8
Symptoms of Depressive Disorder,By State,Texas,"Apr 23 - May 5, 2020",24.4,21.1 - 27.9
Symptoms of Depressive Disorder,By State,Utah,"Apr 23 - May 5, 2020",22.9,20.0 - 26.0
Symptoms of Depressive Disorder,By State,Vermont,"Apr 23 - May 5, 2020",20.7,15.9 - 26.3
Symptoms of Depressive Disorder,By State,Virginia,"Apr 23 - May 5, 2020",21.5,18.0 - 25.3
Symptoms of Depressive Disorder,By State,Washington,"Apr 23 - May 5, 2020",22.1,19.7 - 24.7
Symptoms of Depressive Disorder,By State,West Virginia,"Apr 23 - May 5, 2020",23.4,19.5 - 27.6
Symptoms of Depressive Disorder,By State,Wisconsin,"Apr 23 - May 5, 2020",22.0,19.2 - 25.0
Symptoms of Depressive Disorder,By State,Wyoming,"Apr 23 - May 5, 2020",18.9,15.3 - 22.9
Symptoms of Anxiety Disorder,National Estimate,United States,"Apr 23 - May 5, 2020",30.8,30.0 - 31.7
Symptoms of Anxiety Disorder,By State,Alabama,"Apr 23 - May 5, 2020",25.6,20.7 - 30.9
Symptoms of Anxiety Disorder,By State,Alaska,"Apr 23 - May 5, 2020",27.7,24.8 - 30.7
Symptoms of Anxiety Disorder,By State,Arizona,"Apr 23 - May 5, 2020",32.3,28.0 - 36.8
Symptoms of Anxiety Disorder,By State,Arkansas,"Apr 23 - May 5, 2020",33.7,28.2 - 39.6
Symptoms of Anxiety Disorder,By State,California,"Apr 23 - May 5, 2020",30.8,28.2 - 33.5
Symptoms of Anxiety Disorder,By State,Colorado,"Apr 23 - May 5, 2020",32.6,29.2 - 36.2
Symptoms of Anxiety Disorder,By State,Connecticut,"Apr 23 - May 5, 2020",34.9,30.0 - 40.0
Symptoms of Anxiety Disorder,By State,Delaware,"Apr 23 - May 5, 2020",29.9,25.5 - 34.6
Symptoms of Anxiety Disorder,By State,District of Columbia,"Apr 23 - May 5, 2020",31.4,27.9 - 35.1
Symptoms of Anxiety Disorder,By State,Florida,"Apr 23 - May 5, 2020",32.6,29.7 - 35.6
Symptoms of Anxiety Disorder,By State,Georgia,"Apr 23 - May 5, 2020",31.9,28.1 - 35.9
Symptoms of Anxiety Disorder,By State,Hawaii,"Apr 23 - May 5, 2020",32.3,27.1 - 37.8
Symptoms of Anxiety Disorder,By State,Idaho,"Apr 23 - May 5, 2020",26.9,23.7 - 30.2
Symptoms of Anxiety Disorder,By State,Illinois,"Apr 23 - May 5, 2020",31.1,27.0 - 35.4
Symptoms of Anxiety Disorder,By State,Indiana,"Apr 23 - May 5, 2020",31.8,27.5 - 36.4
Symptoms of Anxiety Disorder,By State,Iowa,"Apr 23 - May 5, 2020",22.5,19.0 - 26.2
Symptoms of Anxiety Disorder,By State,Kansas,"Apr 23 - May 5, 2020",26.4,22.0 - 31.2
Symptoms of Anxiety Disorder,By State,Kentucky,"Apr 23 - May 5, 2020",31.6,28.1 - 35.3
Symptoms of Anxiety Disorder,By State,Louisiana,"Apr 23 - May 5, 2020",34.4,29.7 - 39.3
Symptoms of Anxiety Disorder,By State,Maine,"Apr 23 - May 5, 2020",29.5,25.9 - 33.3
Symptoms of Anxiety Disorder,By State,Maryland,"Apr 23 - May 5, 2020",27.7,24.6 - 31.1
Symptoms of Anxiety Disorder,By State,Massachusetts,"Apr 23 - May 5, 2020",37.0,33.3 - 40.7
Symptoms of Anxiety Disorder,By State,Michigan,"Apr 23 - May 5, 2020",32.5,28.6 - 36.7
Symptoms of Anxiety Disorder,By State,Minnesota,"Apr 23 - May 5, 2020",28.5,25.2 - 32.0
